tau,slice,series,n,sq
69,sel,b24x48,655,49.69508576281298
69,sel,b24x72,655,50.696768843066444
69,sel,b24x96,655,51.434877119526675
69,sel,b24x120,655,51.94358494887652
69,sel,b48x72,655,49.046777141262126
69,sel,b48x96,655,49.612344661883355
69,sel,b48x120,655,50.16161746914906
69,sel,b72x96,655,51.22772046810593
69,sel,b72x120,655,51.9888253362423
69,sel,b96x120,655,53.178877462897745
69,sco,s24,401,36.85276806739695
69,sco,s48,401,41.289797299029175
69,sco,s72,401,39.03455090158459
69,sco,s96,401,40.170648500635586
69,sco,s120,401,42.96185928427693
69,sco,b24x48,401,38.855983325861615
69,sco,b24x72,401,37.67235867364755
69,sco,b24x96,401,38.09414531751229
69,sco,b24x120,401,39.01523144353799
69,sco,b48x72,401,39.95062283714589
69,sco,b48x96,401,40.32778067577901
69,sco,b48x120,401,41.37715604771247
69,sco,b72x96,401,39.26927744986928
69,sco,b72x120,401,40.50477323924362
69,sco,b96x120,401,40.97653226358998
72,sel,s24,652,50.313704552036214
72,sel,s48,652,49.57273614189956
72,sel,s72,652,50.14550972054157
72,sel,s96,652,52.21859374984493
72,sel,s120,652,54.393490191848926
72,sel,b24x48,652,49.57458099098704
72,sel,b24x72,652,49.68578253999626
72,sel,b24x96,652,50.574150630216245
72,sel,b24x120,652,50.86039771861786
72,sel,b48x72,652,49.3691772825414
72,sel,b48x96,652,50.13381664493257
72,sel,b48x120,652,50.46361904304042
72,sel,b72x96,652,50.82586366726285
72,sel,b72x120,652,51.420503144493054
72,sel,b96x120,652,52.62519075800566
72,sco,s24,401,37.26420581479202
72,sco,s48,401,41.09713202608082
72,sco,s72,401,38.88595934111203
72,sco,s96,401,39.35244323823937
72,sco,s120,401,43.136183297994656
72,sco,b24x48,401,38.95997670331633
72,sco,b24x72,401,37.80700678920645
72,sco,b24x96,401,37.91239309949366
72,sco,b24x120,401,39.35718029268605
72,sco,b48x72,401,39.78616411318555
72,sco,b48x96,401,39.84236854276821
72,sco,b48x120,401,41.40676439986565
72,sco,b72x96,401,38.82663222045621
72,sco,b72x120,401,40.51723610380048
72,sco,b96x120,401,40.67366473658984
75,sel,s24,649,50.98272014602443
75,sel,s48,649,50.97716337214666
75,sel,s72,649,48.88614861971037
75,sel,s96,649,51.80856517810993
75,sel,s120,649,52.89649951054085
75,sel,b24x48,649,50.640513771919515
75,sel,b24x72,649,49.42210479959601
75,sel,b24x96,649,50.56127753309501
75,sel,b24x120,649,50.218613014111604
75,sel,b48x72,649,49.53381741046024
75,sel,b48x96,649,50.61820601952836
75,sel,b48x120,649,50.368837686056935
75,sel,b72x96,649,49.95278495484043
75,sel,b72x120,649,49.9583771806167
75,sel,b96x120,649,51.64081511448623
75,sco,s24,401,37.86039260043415
75,sco,s48,401,41.15999021142578
75,sco,s72,401,39.12720125135651
